OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU
1,ALBERTA,AB,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
2,NWT,NT,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
3,YUKON,YT,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
4,SASKATCHEWAN,SK,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
5,PEI,PE,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
6,ONTARIO,ON,1,2020/01/25 12:00:00+00,1,0,0,0,0,0,0,1,1,,,,
7,NEW BRUNSWICK,NB,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
8,REPATRIATED,RC,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
9,NOVA SCOTIA,NS,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
10,NL,NL,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
11,MANITOBA,MB,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
12,BC,BC,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
13,NUNAVUT,NU,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
14,QUEBEC,QC,0,2020/01/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
15,PEI,PE,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
16,NWT,NT,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
17,ONTARIO,ON,0,2020/01/26 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,
18,YUKON,YT,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
19,SASKATCHEWAN,SK,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
20,QUEBEC,QC,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
21,REPATRIATED,RC,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
22,BC,BC,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
23,NL,NL,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
24,MANITOBA,MB,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
25,ALBERTA,AB,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
26,NUNAVUT,NU,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
27,NOVA SCOTIA,NS,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
28,NEW BRUNSWICK,NB,0,2020/01/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
29,PEI,PE,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
30,NWT,NT,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
31,ONTARIO,ON,1,2020/01/27 12:00:00+00,2,0,0,0,0,0,0,2,1,,,,
32,YUKON,YT,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
33,REPATRIATED,RC,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
34,QUEBEC,QC,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
35,SASKATCHEWAN,SK,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
36,ALBERTA,AB,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
37,NL,NL,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
38,NEW BRUNSWICK,NB,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
39,BC,BC,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
40,NUNAVUT,NU,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
41,NOVA SCOTIA,NS,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
42,MANITOBA,MB,0,2020/01/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
43,ONTARIO,ON,0,2020/01/28 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,
44,YUKON,YT,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
45,SASKATCHEWAN,SK,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
46,REPATRIATED,RC,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
47,QUEBEC,QC,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
48,PEI,PE,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
49,NWT,NT,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
50,NUNAVUT,NU,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
51,NEW BRUNSWICK,NB,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
52,MANITOBA,MB,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
53,BC,BC,1,2020/01/28 12:00:00+00,1,0,0,0,0,0,0,1,1,,,,
54,ALBERTA,AB,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
55,NOVA SCOTIA,NS,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
56,NL,NL,0,2020/01/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
57,PEI,PE,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
58,ONTARIO,ON,0,2020/01/29 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,
59,YUKON,YT,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
60,SASKATCHEWAN,SK,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
61,REPATRIATED,RC,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
62,NWT,NT,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
63,QUEBEC,QC,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
64,NOVA SCOTIA,NS,0,2020/01/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,
