term,amount,date
coronavirus,174944,2020-07-18
covid,163477,2020-07-18
19,149659,2020-07-18
covid19,118591,2020-07-18
cases,39332,2020-07-18
new,32140,2020-07-18
people,31819,2020-07-18
trump,29114,2020-07-18
amp,28596,2020-07-18
pandemic,22880,2020-07-18
virus,22273,2020-07-18
us,19923,2020-07-18
one,19455,2020-07-18
via,18683,2020-07-18
deaths,18669,2020-07-18
get,16174,2020-07-18
news,16024,2020-07-18
like,15644,2020-07-18
positive,15185,2020-07-18
casos,14614,2020-07-18
mask,14097,2020-07-18
health,13607,2020-07-18
masks,12996,2020-07-18
000,12825,2020-07-18
death,12275,2020-07-18
realdonaldtrump,12075,2020-07-18
time,11911,2020-07-18
testing,11888,2020-07-18
world,11546,2020-07-18
know,11276,2020-07-18
2020,11185,2020-07-18
would,11129,2020-07-18
test,10863,2020-07-18
need,10315,2020-07-18
day,10257,2020-07-18
please,10085,2020-07-18
help,9943,2020-07-18
18,9691,2020-07-18
state,9646,2020-07-18
vaccine,9485,2020-07-18
many,9168,2020-07-18
texas,9155,2020-07-18
data,9080,2020-07-18
total,9044,2020-07-18
spread,9004,2020-07-18
go,8896,2020-07-18
cdc,8885,2020-07-18
could,8708,2020-07-18
even,8692,2020-07-18
si,8679,2020-07-18
see,8672,2020-07-18
county,8524,2020-07-18
still,8388,2020-07-18
india,8369,2020-07-18
wear,8275,2020-07-18
tested,8232,2020-07-18
back,8102,2020-07-18
the,8088,2020-07-18
going,8049,2020-07-18
good,8043,2020-07-18
na,7835,2020-07-18
da,7763,2020-07-18
corona,7755,2020-07-18
says,7748,2020-07-18
government,7710,2020-07-18
10,7671,2020-07-18
make,7651,2020-07-18
children,7432,2020-07-18
think,7429,2020-07-18
want,7423,2020-07-18
florida,7389,2020-07-18
re,7362,2020-07-18
states,7255,2020-07-18
china,7250,2020-07-18
take,7249,2020-07-18
today,7249,2020-07-18
country,7177,2020-07-18
home,7160,2020-07-18
right,7080,2020-07-18
di,6964,2020-07-18
may,6938,2020-07-18
due,6887,2020-07-18
public,6842,2020-07-18
care,6791,2020-07-18
die,6724,2020-07-18
million,6690,2020-07-18
patients,6615,2020-07-18
first,6574,2020-07-18
also,6537,2020-07-18
pandemia,6502,2020-07-18
daily,6456,2020-07-18
work,6443,2020-07-18
stop,6419,2020-07-18
lockdown,6406,2020-07-18
july,6399,2020-07-18
well,6339,2020-07-18
crisis,6334,2020-07-18
numbers,6313,2020-07-18
much,6247,2020-07-18
americans,6192,2020-07-18
said,6189,2020-07-18
hospital,6178,2020-07-18
let,6093,2020-07-18
number,6047,2020-07-18
really,6005,2020-07-18
say,5995,2020-07-18
way,5990,2020-07-18
read,5982,2020-07-18
24,5893,2020-07-18
social,5859,2020-07-18
schools,5825,2020-07-18
money,5761,2020-07-18
tests,5734,2020-07-18
uk,5677,2020-07-18
school,5664,2020-07-18
times,5601,2020-07-18
live,5594,2020-07-18
face,5506,2020-07-18
days,5496,2020-07-18
died,5413,2020-07-18
must,5321,2020-07-18
america,5306,2020-07-18
year,5287,2020-07-18
kids,5285,2020-07-18
dr,5256,2020-07-18
response,5216,2020-07-18
life,5212,2020-07-18
per,5193,2020-07-18
president,5168,2020-07-18
report,5156,2020-07-18
et,5153,2020-07-18
20,5090,2020-07-18
keep,5069,2020-07-18
last,5020,2020-07-18
global,4989,2020-07-18
great,4979,2020-07-18
real,4966,2020-07-18
nuevos,4962,2020-07-18
rate,4958,2020-07-18
85,4958,2020-07-18
every,4934,2020-07-18
control,4922,2020-07-18
fauci,4888,2020-07-18
safe,4884,2020-07-18
since,4846,2020-07-18
risk,4841,2020-07-18
stay,4793,2020-07-18
everyone,4776,2020-07-18
reported,4768,2020-07-18
wearing,4713,2020-07-18
com,4708,2020-07-18
gop,4670,2020-07-18
salud,4640,2020-07-18
administration,4625,2020-07-18
100,4600,2020-07-18
em,4587,2020-07-18
lives,4568,2020-07-18
week,4544,2020-07-18
record,4516,2020-07-18
look,4513,2020-07-18
post,4510,2020-07-18
case,4508,2020-07-18
update,4475,2020-07-18
months,4460,2020-07-18
never,4439,2020-07-18
usa,4438,2020-07-18
du,4436,2020-07-18
another,4435,2020-07-18
relief,4372,2020-07-18
getting,4339,2020-07-18
reports,4298,2020-07-18
got,4295,2020-07-18
to,4272,2020-07-18
latest,4267,2020-07-18
14,4260,2020-07-18
il,4256,2020-07-18
des,4192,2020-07-18
truth,4186,2020-07-18
man,4183,2020-07-18
better,4169,2020-07-18
open,4168,2020-07-18
bill,4155,2020-07-18
plan,4104,2020-07-18
in,4078,2020-07-18
family,4076,2020-07-18
tracing,4049,2020-07-18
infected,4025,2020-07-18
support,4007,2020-07-18
come,4002,2020-07-18
trying,3989,2020-07-18
house,3915,2020-07-18
contagios,3907,2020-07-18
não,3868,2020-07-18
covid__19,3834,2020-07-18
ca,3827,2020-07-18
covid_19,3822,2020-07-18
confirmed,3810,2020-07-18
flu,3804,2020-07-18
sa,3778,2020-07-18
est,3755,2020-07-18
study,3753,2020-07-18
infants,3752,2020-07-18
17,3749,2020-07-18
person,3744,2020-07-18
next,3726,2020-07-18
yet,3723,2020-07-18
long,3711,2020-07-18
two,3706,2020-07-18
york,3701,2020-07-18
fight,3686,2020-07-18
hope,3685,2020-07-18
ser,3679,2020-07-18
dan,3678,2020-07-18
thanks,3676,2020-07-18
economy,3641,2020-07-18
made,3638,2020-07-18
amid,3624,2020-07-18
use,3610,2020-07-18
medical,3600,2020-07-18
25,3589,2020-07-18
mundo,3578,2020-07-18
media,3571,2020-07-18
science,3547,2020-07-18
working,3522,2020-07-18
babies,3514,2020-07-18
white,3513,2020-07-18
gt,3506,2020-07-18
around,3496,2020-07-18
11,3487,2020-07-18
