gram,counts,date
covid 19 pandemic,7282,2020-05-18
covid19 coronavirus thelastdance,6920,2020-05-18
monday mondaythoughts repost,6918,2020-05-18
covid_19 lockdown monday,6918,2020-05-18
lockdown4 staysafe mondaymotivaton,6918,2020-05-18
mondaymotivation mentalhealthawarenessweek bantiktok,6918,2020-05-18
thelastdance stayhome mondaymotivation,6918,2020-05-18
bantiktok lockdown4 staysafe,6918,2020-05-18
coronavirus thelastdance stayhome,6918,2020-05-18
mondaymotivaton covid_19 lockdown,6918,2020-05-18
staysafe mondaymotivaton covid_19,6918,2020-05-18
mondaythoughts repost felizlunes,6918,2020-05-18
stayhome mondaymotivation mentalhealthawarenessweek,6918,2020-05-18
lockdown monday mondaythoughts,6918,2020-05-18
mentalhealthawarenessweek bantiktok lockdown4,6918,2020-05-18
repost felizlunes photography,6917,2020-05-18
covid 19 cases,4847,2020-05-18
href rel nofollow,3631,2020-05-18
true href rel,3575,2020-05-18
covid 19 crisis,3009,2020-05-18
rel nofollow twitter,3004,2020-05-18
coronavirus covid 19,2685,2020-05-18
covid 19 vaccine,2576,2020-05-18
due covid 19,2439,2020-05-18
covid 19 patients,2341,2020-05-18
nofollow twitter web,2113,2020-05-18
casos covid 19,2070,2020-05-18
covid 19 polriberbagikasih,1993,2020-05-18
pandemi covid 19,1955,2020-05-18
new covid 19,1908,2020-05-18
bbc news coronavirus,1849,2020-05-18
twitter web app,1831,2020-05-18
covid 19 deaths,1791,2020-05-18
covid 19 via,1775,2020-05-18
covid 19 di,1742,2020-05-18
covid 19 response,1677,2020-05-18
trump says taking,1641,2020-05-18
covid 19 outbreak,1540,2020-05-18
cases covid 19,1515,2020-05-18
covid 19 lockdown,1510,2020-05-18
positive covid 19,1437,2020-05-18
covid 19 testing,1339,2020-05-18
da covid 19,1300,2020-05-18
fight covid 19,1251,2020-05-18
says taking hydroxychloroquine,1229,2020-05-18
impact covid 19,1225,2020-05-18
pandemia covid 19,1219,2020-05-18
coronavirus vaccine trial,1211,2020-05-18
amid covid 19,1211,2020-05-18
new coronavirus cases,1208,2020-05-18
may 18 2020,1063,2020-05-18
response covid 19,1050,2020-05-18
covid 19 coronavirus,1032,2020-05-18
covid 19 death,979,2020-05-18
terdampak pandemi covid,955,2020-05-18
covid 19 test,948,2020-05-18
covid 19 positive,934,2020-05-18
du covid 19,925,2020-05-18
masyarakat terdampak pandemi,905,2020-05-18
bantu masyarakat terdampak,905,2020-05-18
baksos bantu masyarakat,886,2020-05-18
gelar baksos bantu,885,2020-05-18
kemensos ri gelar,867,2020-05-18
ri gelar baksos,866,2020-05-18
hamka_sutra airin_nz 1802_kimmi,865,2020-05-18
kampoeng_99 hamka_sutra airin_nz,865,2020-05-18
tjhinfar21 thearieair wagimandeep212,865,2020-05-18
maranatha_sibrn l07_te anak_singkong_,865,2020-05-18
aryprasetyo85 dewidrupadi_45 mochamadarip,865,2020-05-18
airin_nz 1802_kimmi aryprasetyo85,865,2020-05-18
1802_kimmi aryprasetyo85 dewidrupadi_45,865,2020-05-18
mochamadarip maranatha_sibrn l07_te,865,2020-05-18
dewidrupadi_45 mochamadarip maranatha_sibrn,865,2020-05-18
thearieair wagimandeep212 narkosun,865,2020-05-18
narkosun kampoeng_99 hamka_sutra,865,2020-05-18
1trenggalek tjhinfar21 thearieair,865,2020-05-18
wagimandeep212 narkosun kampoeng_99,865,2020-05-18
bersama kemensos ri,861,2020-05-18
das ad latif,857,2020-05-18
covid 19 update,855,2020-05-18
world health assembly,853,2020-05-18
covid 19 relief,847,2020-05-18
pori bersama kemensos,834,2020-05-18
últimas 24 horas,834,2020-05-18
bareskrim pori bersama,833,2020-05-18
loss smell taste,818,2020-05-18
ikuti anjuran ulama,810,2020-05-18
coronavirus death toll,807,2020-05-18
saat covid 19,803,2020-05-18
anjuran ulama saat,798,2020-05-18
amid coronavirus pandemic,796,2020-05-18
covid 19 virus,792,2020-05-18
ulama saat covid,787,2020-05-18
lawan covid 19,782,2020-05-18
ustaz das ad,778,2020-05-18
warga ikuti anjuran,778,2020-05-18
minta warga ikuti,777,2020-05-18
